date,HSI_return,SH_return,SZ_return,DJI_return,NASDAQ_return,XLK_return,XLV_return,XLI_return,XLE_return,XLF_return,XLY_return,ITA_return,GPR
11/30/15,-0.003258064,0.002648777,0.006366988,-0.004414419,-0.003676241,-0.008793687,-0.016595215,-0.004727273,-0.007876313,-0.010873943,-0.010170322,-0.005389718,-0.578145021
12/1/15,0.017499666,0.003164795,0.003597816,0.009505122,0.009325323,0.006353528,0.008507671,0.010286554,0.031908489,0.011817441,0.008776267,0.008024072,0.701103096
12/2/15,0.004393837,0.023318517,0.008699489,-0.008870019,-0.00641738,0.013103448,0.022386996,0.01264881,0.02042697,0.016570008,0.015311245,0.011669203,0.130193856
12/3/15,-0.002788295,0.013548286,0.021426573,-0.014214019,-0.016725809,-0.02400718,-0.022986904,-0.014662757,0.00633694,-0.02582728,-0.018960847,-0.014089204,-0.180454104
12/4/15,-0.008079579,-0.016690359,-0.009495974,0.021167581,0.020791936,0.004960541,0.005603811,0.004973292,0.039524422,0.009368635,0.004203759,0.001168517,-0.010079562
12/7/15,-0.001469246,0.003385823,0.009235813,-0.006562216,-0.00786812,0.002486438,-0.002236511,0.016286035,0.01038961,0.012788779,0.00297619,0.011054852,0.262479852
12/8/15,-0.01342553,-0.018902567,-0.022348218,-0.009165557,-0.000699752,0.014911677,0.01016662,0.003004131,-0.012978689,0.011686144,0.012938073,0.008511497,0.003112491
12/9/15,-0.004627683,0.000682695,0.00122154,-0.004308971,-0.014783533,-0.002745367,-0.007428171,-0.004672024,-0.006368413,-0.000834028,-0.00338007,-0.008355979,0.007651766
12/10/15,-0.004547381,-0.004879567,-0.003194668,0.004713503,0.004439693,0.021261682,0.014935989,0.017107014,0.038868674,0.022601279,0.023315398,0.015350655,-0.261103285
12/11/15,-0.01108336,-0.006052389,-0.00385928,-0.017612768,-0.022139987,-0.007651287,-0.006500848,-0.003598485,-0.00526489,-0.00212766,-0.005098139,0.003340209,0.0176101
12/14/15,-0.007184106,0.025064775,0.021968812,0.005982551,0.003802597,-0.004385965,-0.012834821,-0.000189358,-0.024554646,-0.022869023,-0.005450627,-0.003084769,-0.203892417
12/15/15,-0.001664958,-0.002929558,0.007633508,0.009005383,0.008709208,-0.013436575,-0.012808153,-0.017488372,0.006623586,-0.015957447,-0.016456801,-0.013945233,0.191251046
12/16/15,0.020063579,0.001661656,0.00126288,0.012792077,0.015168076,0.015964831,0.010858973,0.016836928,0.025173899,0.01452885,0.016732159,0.011887454,0.199264227
12/17/15,0.007872833,0.018148068,0.025133822,-0.014268337,-0.013523613,0.024899217,0.019009789,0.021646695,0.027045416,0.033905579,0.020173283,0.015458098,-0.04469039
12/18/15,-0.00532643,-0.000289106,0.000371916,-0.02099299,-0.015885898,-0.010093897,-0.00899761,-0.007671653,-0.001019541,-0.009774756,-0.005018013,-0.013620855,-0.174898547
12/21/15,0.001660265,0.0177448,0.015436956,0.00718508,0.009311244,-0.007224423,-0.006702974,-0.013620885,-0.011588848,-0.009263158,-0.007280623,-0.009754008,0.227121803
12/22/15,0.001759387,0.002551838,0.008506092,0.009601997,0.006478269,-0.008319852,-0.010638298,-0.011593119,-0.041686786,-0.011652102,-0.005083238,-0.007743456,-0.131744236
12/23/15,0.009645891,-0.004293264,-0.009990007,0.010641162,0.00896201,0.000462428,-0.000966184,0.000374111,0.009095339,0.000832986,0.002675841,0.001855131,-0.48534241
12/24/15,0.004425471,-0.00649159,-0.005804179,-0.002865484,0.00050734,0.000694123,0.004715019,0.002249719,0.018527709,0.000833681,-0.002541942,0.003639133,0.507004033
12/28/15,-0.009870301,-0.025947418,-0.022666955,-0.001361655,-0.001485593,-0.013467245,-0.012056446,-0.009470752,-0.006899951,-0.010313531,-0.011433597,-0.013532208,0.330242473
12/29/15,0.003649698,0.008477327,0.009444804,0.01099424,0.013281121,0.008517495,0.004265272,0.008426966,0.013655287,0.007062734,0.008106396,0.005463779,-0.260282451
12/30/15,-0.005339638,0.002564724,0.006533574,-0.006608551,-0.008240112,0.014242353,0.009024018,0.007357102,-0.004476127,0.010071339,0.010097133,0.007697513,0.294620493
12/31/15,0.001473804,-0.009430498,-0.017450967,-0.01015913,-0.01153607,0.013248167,0.018379754,0.013575526,0.000331675,0.019683355,0.017453788,0.012417573,-0.50476192
1/4/16,-0.026798817,-0.068638459,-0.082025979,-0.015844449,-0.020833125,0.002609108,-0.004784016,-0.002669718,-0.003799769,-0.003836317,0.001303441,-0.012265268,0.905241842
1/5/16,-0.00648939,-0.00259294,-0.013588462,0.000566799,-0.002378092,0.012487992,0.008228117,0.015688553,0.040034364,0.015584416,0.009872318,0.01146475,0.535951715
1/6/16,-0.009812296,0.022547298,0.022394372,-0.014695203,-0.01138113,0.03043801,0.020706632,0.02787179,0.025008806,0.028953229,0.020964924,0.024633997,-0.212955276
1/7/16,-0.030860105,-0.070448921,-0.082270352,-0.023210586,-0.03025998,0.00798204,0.015289621,0.010257442,0.013024086,0.015837104,0.010868089,0.014316201,0.270850064
1/8/16,0.005919834,0.019651187,0.01195509,-0.010151931,-0.009766645,-0.006443618,0.012051778,-0.000603015,0.021877849,-0.001355626,-0.007817765,-0.003720765,-0.117876632
1/11/16,-0.027633618,-0.053259905,-0.062122839,0.00318846,-0.001214567,-0.011756062,-0.012634053,-0.007976072,-0.002364496,-0.007623318,-0.010931876,-0.008084359,-0.473801934
1/12/16,-0.008886542,0.002040969,0.007954988,0.007174406,0.010334218,0.027686886,0.030582892,0.024724152,0.024599329,0.026703499,0.034906181,0.028003613,0.11695056
1/13/16,0.011319131,-0.024236642,-0.030589487,-0.022087984,-0.034114966,-0.018527668,-0.026098496,-0.011712439,-0.04127211,-0.008671839,-0.007123288,-0.003690037,0.309670738
1/14/16,-0.005892687,0.019681333,0.036689605,0.014094126,0.019650645,0.028978139,0.01420667,0.017945608,0.029806808,0.022875817,0.020979021,0.018890417,-0.099462428
1/15/16,-0.014968656,-0.035469232,-0.033544419,-0.023870127,-0.027427952,-0.001015744,0.000149566,0.000143914,0.022000752,0.000467071,-0.003762018,0.006460545,-0.101570697
1/19/16,0.020707526,0.032226236,0.034051926,0.001747552,-0.002555465,0.007934477,-0.001940588,0.013122266,0.027235851,0.020009528,0.008855777,0.007813227,0.043493346
1/20/16,-0.038170567,-0.010321707,-0.012849238,-0.015564416,-0.001174907,-0.005599389,0.00299446,-0.004355039,-0.030161109,0.00430622,-0.012630118,0.004015689,0.258494507
1/21/16,-0.017659891,-0.032321764,-0.037704414,0.007353454,-0.005012339,-0.026993561,-0.015622697,-0.008634868,-0.042339433,-0.017857143,-0.017187287,-0.015718356,-0.547865911
1/22/16,0.028445348,0.012525681,0.013592257,0.013274208,0.026636494,0.011776497,0.009372211,0.012489592,0.048927362,0.020623501,0.011591003,0.011530462,0.261713543
1/25/16,0.013607079,0.007527013,0.00800667,-0.012942484,-0.015832531,-0.009677419,-0.007529898,-0.018590398,-0.036446056,-0.016509434,-0.014415885,-0.016911335,-0.252999992
1/26/16,-0.024784722,-0.064226318,-0.069559079,0.01775298,0.010884167,0.021028629,0.011499403,0.011363636,0.004736746,0.003787879,0.015888367,0.025689106,-0.130434759
1/27/16,0.010161287,-0.005173859,-0.00644453,-0.013779107,-0.021783535,-0.012756378,0.023853211,-0.005751849,-0.029526167,-0.000473261,-0.012685855,-0.002990281,0.304964444
1/28/16,0.007525541,-0.029206838,-0.036067341,0.007851003,0.008618741,-0.030552861,-0.016097488,-0.026205241,-0.028345645,-0.027163904,-0.010794765,-0.022300311,-0.182345386
1/29/16,0.02538468,0.030854465,0.036951583,0.024683814,0.023802444,-0.003624064,-0.001502178,0.002406256,0.017035031,0.004160888,-0.006035408,0.003576997,0.083480302
2/1/16,-0.004451024,-0.017806108,-0.010214049,-0.001039699,0.001391433,0.018204182,0.014631916,0.020462451,0.034429785,0.02853067,0.019833128,0.022987427,0.594031481
2/2/16,-0.007586436,0.022580624,0.030993758,-0.017972932,-0.022383489,0.001231527,-0.006511205,-0.015908176,-0.034380454,-0.000950119,0.002605595,-0.016063516,-0.219951977
2/3/16,-0.023409973,-0.003754405,0.002907523,0.011336215,-0.002813846,-0.000984252,0.005481121,-0.017022961,0.000523834,-0.008478568,0.005793103,-0.00642084,0.004958625
2/4/16,0.010083411,0.015250907,0.015997201,0.004892065,0.001181109,0.028860759,0.019875776,0.009592326,0.023775474,0.013365155,0.033352338,0.01442263,-0.070919875
2/5/16,0.005477741,-0.006303795,-0.0122118,-0.012890017,-0.0324688,0.014641665,0.013853904,0.008464329,0.005211141,0.025954946,0.019767442,0.007499766,0.131646581
2/16/16,0.01078013,0.032909159,0.038942087,0.013933406,0.022697354,-0.020102966,-0.012498118,-0.01516035,-0.031737773,-0.013270142,-0.021090112,-0.016376758,0.587034169
2/17/16,-0.010328897,0.010846547,0.011587428,0.015893646,0.022114717,0.003937977,0.006212121,0.000583431,0.012644889,0.005719733,0.006617039,-0.00497146,0.040667118
2/18/16,0.023171464,-0.001550218,-0.004464773,-0.002455355,-0.01026012,-0.000737826,0.001061732,0.001948558,0.00228833,0,-0.002749519,0.002769572,-0.11285047
2/19/16,-0.004006594,-0.001003181,0.004539164,-0.001306247,0.003763755,-0.013106796,-0.014057126,-0.01666986,-0.024888431,-0.015485687,-0.019015509,-0.016256471,0.358349013
2/22/16,0.009260325,0.023480247,0.020533697,0.013950106,0.014692203,0.016029593,0.007533524,0.010063867,0.035365203,0.018155757,0.005560076,-0.000272381,-0.352290702
